ICD-10 Code,GI Disease,On DDB?,Causes
K25,Gastric Ulcer,5115,Stomach cancer
K26,Duodenal Ulcer,4005,Abdominal pain
K26,Duodenal Ulcer,4005,Gastroduodenal ulcers
K26,Duodenal Ulcer,4005,Gastrointestinal perforation
K26,Duodenal Ulcer,4005,Hypovolaemic shock
K26,Duodenal Ulcer,4005,"Pancreatitis, acute"
K27,Peptic Ulcer,9819,Burns
K27,Peptic Ulcer,9819,Carcinoid tumours and carcinoid syndrome
K27,Peptic Ulcer,9819,Crohn disease
K27,Peptic Ulcer,9819,Curling ulcers
K27,Peptic Ulcer,9819,Cushing syndrome
K27,Peptic Ulcer,9819,Cushing ulcers
K27,Peptic Ulcer,9819,Dieulafoy ulcer
K27,Peptic Ulcer,9819,Duodenal ulcer
K27,Peptic Ulcer,9819,Eosinophilic gastroenteritis
K27,Peptic Ulcer,9819,Gastric ulcer
K27,Peptic Ulcer,9819,Helicobacter pylori
K27,Peptic Ulcer,9819,Hypercalcaemia
K27,Peptic Ulcer,9819,Mastocytosis
K27,Peptic Ulcer,9819,Multiple endocrine neoplasia type 1
K27,Peptic Ulcer,9819,Oesophagitis
K27,Peptic Ulcer,9819,Polycythaemia rubra vera
K27,Peptic Ulcer,9819,"Primary thrombocythemia, acquired"
K27,Peptic Ulcer,9819,Stomach cancer
K27,Peptic Ulcer,9819,Zollinger-Ellison syndrome
K28,Gastrojejunal Ulcer,,
K29.7,Gastritis,34500,Atrophic gastritis
K29.7,Gastritis,34500,Helicobacter pylori
K29.7,Gastritis,34500,Menetrier disease
K29.7,Gastritis,34500,Phlegmonous gastritis
K29.8,Duodenitis,,
K30,Dyspepsia,,
K31.7,Polyp of Stomach and Duodenum,5110,
K31.8,Achlorhydria,29513,
K31.8,Gastroptosis,,
K35,Acute Appendicitis,885,
K50,Crohn's Disease,3178,Blau syndrome
K50,Crohn's Disease,3178,HLA B27
K51,Ulcerative Colitis,13495,
K52,Gastroenteritis,30726,Gastritis
K52,Gastroenteritis,30726,Adenovirus
K52,Gastroenteritis,30726,Astrovirus
K52,Gastroenteritis,30726,Campylobacter jejuni
K52,Gastroenteritis,30726,Echovirus
K52,Gastroenteritis,30726,Norovirus
K52,Gastroenteritis,30726,Norwalk virus
K52,Gastroenteritis,30726,Rotavirus
K52,Gastroenteritis,30726,Salmonella enteritidis
K52,Gastroenteritis,30726,Sapporo-like virus
K52,Gastroenteritis,30726,Small round structured virus
K52,Gastroenteritis,30726,Vibrio parahaemolyticus
K52,Gastroenteritis,30726,Vibrio vulnificus
K55,Vascular Disorder of Intestine,,
K55.2,Angiodysplasia of colon,2963,
K56.2,Volvulus,13996,
K57,Diverticular Disease of Intestine,3871,
K58,Irritable Bowel Syndrome,30638,
K59.0,Constipation,3080,Acute intermittent porphyria
K59.0,Constipation,3080,Anal fissure
K59.0,Constipation,3080,Anorexia nervosa
K59.0,Constipation,3080,Chagas disease
K59.0,Constipation,3080,Colonic diverticulosis
K59.0,Constipation,3080,Colorectal cancer
K59.0,Constipation,3080,"Coproporphyria, hereditary"
K59.0,Constipation,3080,Dehydration
K59.0,Constipation,3080,Faecal impaction
K59.0,Constipation,3080,Functional disorders
K59.0,Constipation,3080,Haemorrhoids
K59.0,Constipation,3080,Hirschsprung disease
K59.0,Constipation,3080,Hypercalcaemia
K59.0,Constipation,3080,"Hyperparathyroidism, primary"
K59.0,Constipation,3080,Hypokalaemia
K59.0,Constipation,3080,Hypothyroidism
K59.0,Constipation,3080,Immobility
K59.0,Constipation,3080,Irritable bowel syndrome
K59.0,Constipation,3080,Large bowel obstruction
K59.0,Constipation,3080,Laxative abuse
K59.0,Constipation,3080,Low fibre diet
K59.0,Constipation,3080,Mowat-Wilson syndrome
K59.0,Constipation,3080,Multiple sclerosis
K59.0,Constipation,3080,Paralytic Ileus
K59.0,Constipation,3080,Pitt-Hopkins syndrome
K59.0,Constipation,3080,Primary affective disorder
K59.0,Constipation,3080,Rectocoele
K59.0,Constipation,3080,Small bowel obstruction
K59.0,Constipation,3080,"Spinal cord injury, chronic phase"
K59.0,Constipation,3080,Superior mesenteric artery occlusion
K59.0,Constipation,3080,Systemic sclerosis
K59.1,Functional Diarrhoea,3742,Abetalipoproteinaemia
K59.1,Functional Diarrhoea,3742,Acrodermatitis enteropathica
K59.1,Functional Diarrhoea,3742,Adenovirus
K59.1,Functional Diarrhoea,3742,Autoimmune adrenalitis
K59.1,Functional Diarrhoea,3742,Autonomic neuropathy
K59.1,Functional Diarrhoea,3742,Bacillary dysentery
K59.1,Functional Diarrhoea,3742,Bacillus cereus
K59.1,Functional Diarrhoea,3742,Bacterial overgrowth of small intestine
K59.1,Functional Diarrhoea,3742,Balantidiasis
K59.1,Functional Diarrhoea,3742,Bile acid malabsorption syndrome
K59.1,Functional Diarrhoea,3742,Brainerd diarrhea
K59.1,Functional Diarrhoea,3742,Campylobacter jejuni
K59.1,Functional Diarrhoea,3742,Capillaria
K59.1,Functional Diarrhoea,3742,Celiac disease
K59.1,Functional Diarrhoea,3742,Cholestanol storage disease
K59.1,Functional Diarrhoea,3742,Cholestatic jaundice
K59.1,Functional Diarrhoea,3742,Clostridium perfringens
K59.1,Functional Diarrhoea,3742,Coccidiosis
K59.1,Functional Diarrhoea,3742,Colonic villous adenomata
K59.1,Functional Diarrhoea,3742,Colorectal cancer
K59.1,Functional Diarrhoea,3742,Complement 5 deficiency
K59.1,Functional Diarrhoea,3742,Crohn disease
K59.1,Functional Diarrhoea,3742,Cryptosporidiosis
K59.1,Functional Diarrhoea,3742,Cyclosporiasis
K59.1,Functional Diarrhoea,3742,Cytomegalovirus
K59.1,Functional Diarrhoea,3742,Degos' disease
K59.1,Functional Diarrhoea,3742,Dientamoeba fragilis
K59.1,Functional Diarrhoea,3742,Entamoeba histolytica
K59.1,Functional Diarrhoea,3742,Escherichia coli
K59.1,Functional Diarrhoea,3742,Ethylmalonic encephalopathy
K59.1,Functional Diarrhoea,3742,Faecal impaction
K59.1,Functional Diarrhoea,3742,Faecal incontinence
K59.1,Functional Diarrhoea,3742,Functional disorders
K59.1,Functional Diarrhoea,3742,Gangrene
K59.1,Functional Diarrhoea,3742,Giardia lamblia
K59.1,Functional Diarrhoea,3742,Glucagonoma
K59.1,Functional Diarrhoea,3742,Graft versus host disease
K59.1,Functional Diarrhoea,3742,Heartland virus
K59.1,Functional Diarrhoea,3742,Hirschsprung disease
K59.1,Functional Diarrhoea,3742,HIV-1 disease
K59.1,Functional Diarrhoea,3742,Hymenolepiasis
K59.1,Functional Diarrhoea,3742,Hyperthyroidism
K59.1,Functional Diarrhoea,3742,Iduronate-2-sulfatase deficiency
K59.1,Functional Diarrhoea,3742,Intususception of intestine
K59.1,Functional Diarrhoea,3742,Irritable bowel syndrome
K59.1,Functional Diarrhoea,3742,Isosporiasis
K59.1,Functional Diarrhoea,3742,Kawasaki disease
K59.1,Functional Diarrhoea,3742,Kwashiorkor
K59.1,Functional Diarrhoea,3742,Lactase deficiency
K59.1,Functional Diarrhoea,3742,Large bowel obstruction
K59.1,Functional Diarrhoea,3742,Laxative abuse
K59.1,Functional Diarrhoea,3742,Legionella pneumophila
K59.1,Functional Diarrhoea,3742,Malabsorption syndrome
K59.1,Functional Diarrhoea,3742,Malabsorption syndrome
K59.1,Functional Diarrhoea,3742,Malabsorption syndrome
K59.1,Functional Diarrhoea,3742,Malabsorption syndrome
K59.1,Functional Diarrhoea,3742,Malakoplakia
K59.1,Functional Diarrhoea,3742,Meckel diverticulitis
K59.1,Functional Diarrhoea,3742,Microscopic colitis
K59.1,Functional Diarrhoea,3742,Microsporidiasis
K59.1,Functional Diarrhoea,3742,Nausea and vomiting
K59.1,Functional Diarrhoea,3742,Osmotic diarrhoea
K59.1,Functional Diarrhoea,3742,"Pancreatitis, chronic"
K59.1,Functional Diarrhoea,3742,Pellagra
K59.1,Functional Diarrhoea,3742,Penicillium marneffei
K59.1,Functional Diarrhoea,3742,Pernicious anaemia
K59.1,Functional Diarrhoea,3742,Pneumatosis cystoides intestinalis
K59.1,Functional Diarrhoea,3742,Postgastrectomy syndrome
K59.1,Functional Diarrhoea,3742,Protein losing enteropathy
K59.1,Functional Diarrhoea,3742,Pseudomembranous colitis
K59.1,Functional Diarrhoea,3742,RAPADILINO syndrome
K59.1,Functional Diarrhoea,3742,Rotavirus
K59.1,Functional Diarrhoea,3742,Salmonella
K59.1,Functional Diarrhoea,3742,Sapporo-like virus
K59.1,Functional Diarrhoea,3742,Secretory diarrhoea
K59.1,Functional Diarrhoea,3742,Severe acute respiratory syndrome
K59.1,Functional Diarrhoea,3742,Short bowel syndrome
K59.1,Functional Diarrhoea,3742,Shy-Drager syndrome
K59.1,Functional Diarrhoea,3742,Small bowel lymphoma
K59.1,Functional Diarrhoea,3742,Small round structured virus
K59.1,Functional Diarrhoea,3742,Somatostatinoma
K59.1,Functional Diarrhoea,3742,Staphylococcal toxic shock syndrome
K59.1,Functional Diarrhoea,3742,Staphylococcus aureus
K59.1,Functional Diarrhoea,3742,Streptococcus suis
K59.1,Functional Diarrhoea,3742,Strongyloidiasis
K59.1,Functional Diarrhoea,3742,Sucrase-isomaltase deficiency
K59.1,Functional Diarrhoea,3742,Superior mesenteric artery occlusion
K59.1,Functional Diarrhoea,3742,Systemic sclerosis
K59.1,Functional Diarrhoea,3742,Trichinella spiralis
K59.1,Functional Diarrhoea,3742,Trichuriasis
K59.1,Functional Diarrhoea,3742,Tropical sprue
K59.1,Functional Diarrhoea,3742,Typhoid fever
K59.1,Functional Diarrhoea,3742,Ulcerative colitis
K59.1,Functional Diarrhoea,3742,Vibrio parahaemolyticus
K59.1,Functional Diarrhoea,3742,Viral haemorrhagic fever
K59.1,Functional Diarrhoea,3742,Visceral leishmaniasis
K59.1,Functional Diarrhoea,3742,Vitamin B12 deficiency
K59.1,Functional Diarrhoea,3742,Whipple disease
K59.1,Functional Diarrhoea,3742,Yersinia enterocolitica
K59.1,Functional Diarrhoea,3742,Zinc deficiency
K59.2,Neurogenic Bowel,,
K59.3,Megacolon,32198,Toxic megacolon
K59.3,Megacolon,32198,Chagas disease
K59.3,Megacolon,32198,Colonic pseudoobstruction
K59.3,Megacolon,32198,Constipation
K59.3,Megacolon,32198,"Creatine deficiency syndrome, X-linked"
K59.3,Megacolon,32198,Familial visceral myopathy
K59.3,Megacolon,32198,Goldberg-Shprintzen megacolon syndrome
K59.3,Megacolon,32198,Hirschsprung disease
K59.3,Megacolon,32198,Mowat-Wilson syndrome
K59.3,Megacolon,32198,Multiple endocrine neoplasia type 2a
K59.3,Megacolon,32198,Systemic sclerosis
K59.3,Megacolon,32198,Waardenburg-Shah syndrome
K59.4,Anal Spasm,,
K60.2,Anal Fissure,673,
K60.3,Anal Fistula,31933,
K60.5,Anorectal Fistula,31933,
K61.0,Anal Abscess,32048,
K62.0,Anal Polyp,,
K62.1,Rectal Polyp,,
K62.2,Anal Prolapse,,
K62.3,Rectal Prolapse,11189,Colitis cystica profunda
K62.3,Rectal Prolapse,11189,Trichuriasis
K62.4,Stenosis of Anus and Rectum,,
K62.6,Ulcer of Anus and Rectum,,
K62.7,Radiation Proctitis,25171,Bacillary dysentery
K62.7,Radiation Proctitis,25171,Behcet disease
K62.7,Radiation Proctitis,25171,Chlamydia trachomatis
K62.7,Radiation Proctitis,25171,Crohn disease
K62.7,Radiation Proctitis,25171,Entamoeba histolytica
K62.7,Radiation Proctitis,25171,Herpes simplex
K62.7,Radiation Proctitis,25171,Herpes virus 2
K62.7,Radiation Proctitis,25171,Neisseria gonorrhoea
K62.7,Radiation Proctitis,25171,Ulcerative colitis
K63.0,Abscess of Intestine,,
K63.1,Perforation of Intestine,34042,Duodenal ulcer
K63.1,Perforation of Intestine,34042,Gastric ulcer
K63.1,Perforation of Intestine,34042,Oesophageal rupture
K63.1,Perforation of Intestine,34042,Typhoid fever
K63.2,Fistula of Intestine,4839,Colonic diverticulosis
K63.2,Fistula of Intestine,4839,Crohn disease
K63.2,Fistula of Intestine,4839,Gastric fistula
K63.2,Fistula of Intestine,4839,Rectovaginal fistula
K63.2,Fistula of Intestine,4839,Rectovesical fistula
K63.4,Enteroptosis,,
K65,Peritonitis,9860,Appendicitis
K65,Peritonitis,9860,Ascites
K65,Peritonitis,9860,Cholecystitis
K65,Peritonitis,9860,Cholelithiasis
K65,Peritonitis,9860,Colorectal cancer
K65,Peritonitis,9860,Continuous ambulatory peritoneal dialysis
K65,Peritonitis,9860,Fitz-Hugh Curtis syndrome
K65,Peritonitis,9860,Gall bladder rupture
K65,Peritonitis,9860,Gastrointestinal perforation
K65,Peritonitis,9860,Mallory-Weiss syndrome
K65,Peritonitis,9860,Meckel diverticulitis
K65,Peritonitis,9860,Muckle-Wells syndrome
K65,Peritonitis,9860,Neonatal necrotizing enterocolitis
K65,Peritonitis,9860,Perihepatitis
K65,Peritonitis,9860,Pigbel
K65,Peritonitis,9860,Recurrent hereditary polyserositis
K65,Peritonitis,9860,Streptococcus milleri
K65,Peritonitis,9860,Toxic megacolon
K65,Peritonitis,9860,Typhlitis
K66.0,Peritoneal Adhesions,273,Laparotomy
K66.0,Peritoneal Adhesions,273,Peritonitis
K70,Alcoholic Liver Disease,,
K71,Toxic Liver Disease,,
K72,Hepatic Failure,5728,Acute fatty liver of pregnancy
K72,Hepatic Failure,5728,Alpha-1-antitrypsin deficiency
K72,Hepatic Failure,5728,"Cardiac failure, right sided"
K72,Hepatic Failure,5728,Carnitine palmitoyltransferase 1 deficiency
K72,Hepatic Failure,5728,Cholestatic jaundice
K72,Hepatic Failure,5728,Cirrhosis of liver
K72,Hepatic Failure,5728,Cystic fibrosis
K72,Hepatic Failure,5728,Dihydrolipoamide dehydrogenase deficiency
K72,Hepatic Failure,5728,"Erythropoietic protoporphyria, X-linked"
K72,Hepatic Failure,5728,Fasciola hepatica
K72,Hepatic Failure,5728,Glycogenosis type 4
K72,Hepatic Failure,5728,Graft versus host disease
K72,Hepatic Failure,5728,Haemochromatosis
K72,Hepatic Failure,5728,Haemosiderosis
K72,Hepatic Failure,5728,Hepatic vein thrombosis
K72,Hepatic Failure,5728,Hepatic venoocclusive disease with immunodeficiency
K72,Hepatic Failure,5728,Hepatitis B
K72,Hepatic Failure,5728,Hepatitis C
K72,Hepatic Failure,5728,Hepatocellular jaundice
K72,Hepatic Failure,5728,Lecithin cholesterol acyltransferase deficiency
K72,Hepatic Failure,5728,Liver metastases
K72,Hepatic Failure,5728,MEGDEL syndrome
K72,Hepatic Failure,5728,"Mitochondrial DNA depletion syndrome, hepatocerebral form"
K72,Hepatic Failure,5728,North American Indian childhood cirrhosis
K72,Hepatic Failure,5728,Patent ductus venosus
K72,Hepatic Failure,5728,Primary biliary cirrhosis
K72,Hepatic Failure,5728,Progressive familial intrahepatic cholestasis type 1
K72,Hepatic Failure,5728,Reye syndrome
K72,Hepatic Failure,5728,Sickle cell disease
K72,Hepatic Failure,5728,Tyrosinaemia type 1
K72,Hepatic Failure,5728,Visceral leishmaniasis
K72,Hepatic Failure,5728,Wilson disease
K72,Hepatic Failure,5728,X-linked lymphoproliferative disease
K72,Hepatic Failure,5728,Zellweger spectrum
K73,Chronic Hepatitis,20061,Acute fatty liver of pregnancy
K73,Chronic Hepatitis,20061,Aicardi Goutieres syndrome
K73,Chronic Hepatitis,20061,Alpha-1-antitrypsin deficiency
K73,Chronic Hepatitis,20061,Alstr_m syndrome
K73,Chronic Hepatitis,20061,Amyloidosis
K73,Chronic Hepatitis,20061,Amyloidosis
K73,Chronic Hepatitis,20061,Autoimmune hepatitis
K73,Chronic Hepatitis,20061,"Cardiac failure, right sided"
K73,Chronic Hepatitis,20061,Carnitine palmitoyltransferase 2 deficiency
K73,Chronic Hepatitis,20061,Cholangiocarcinoma
K73,Chronic Hepatitis,20061,Cholestatic jaundice
K73,Chronic Hepatitis,20061,Cirrhosis of liver
K73,Chronic Hepatitis,20061,Clonorchiasis
K73,Chronic Hepatitis,20061,Cystic fibrosis
K73,Chronic Hepatitis,20061,Cytomegalovirus
K73,Chronic Hepatitis,20061,Dengue
K73,Chronic Hepatitis,20061,Dibasic aminoaciduria type 2
K73,Chronic Hepatitis,20061,Dicrocoelium dendriticum fluke
K73,Chronic Hepatitis,20061,Eclampsia
K73,Chronic Hepatitis,20061,Epstein-Barr virus
K73,Chronic Hepatitis,20061,Erythropoietic protoporphyria
K73,Chronic Hepatitis,20061,Fasciola hepatica
K73,Chronic Hepatitis,20061,Galactose-1-phosphate uridyltransferase deficiency
K73,Chronic Hepatitis,20061,Glutaric acidemia type 2
K73,Chronic Hepatitis,20061,Glycine N-methyltransferase deficiency
K73,Chronic Hepatitis,20061,Glycogenosis type 3
K73,Chronic Hepatitis,20061,Glycogenosis type 9c
K73,Chronic Hepatitis,20061,GRACILE syndrome
K73,Chronic Hepatitis,20061,Graft versus host disease
K73,Chronic Hepatitis,20061,Haemochromatosis
K73,Chronic Hepatitis,20061,Haemosiderosis
K73,Chronic Hepatitis,20061,HELLP syndrome
K73,Chronic Hepatitis,20061,Hepatic failure
K73,Chronic Hepatitis,20061,Hepatic vein thrombosis
K73,Chronic Hepatitis,20061,Hepatic venoocclusive disease with immunodeficiency
K73,Chronic Hepatitis,20061,Hepatitis A
K73,Chronic Hepatitis,20061,Hepatitis B
K73,Chronic Hepatitis,20061,Hepatitis C
K73,Chronic Hepatitis,20061,Hepatitis D
K73,Chronic Hepatitis,20061,Hepatitis E
K73,Chronic Hepatitis,20061,Hepatitis G virus
K73,Chronic Hepatitis,20061,Histiocytosis X
K73,Chronic Hepatitis,20061,Human granulocytic ehrlichiosis
K73,Chronic Hepatitis,20061,Hyperemesis gravidarum
K73,Chronic Hepatitis,20061,Hyperornithinaemia-hyperammonaemia-homocitrullinuria syndrome
K73,Chronic Hepatitis,20061,Infantile papular acrodermatitis
K73,Chronic Hepatitis,20061,Infectious mononucleosis
K73,Chronic Hepatitis,20061,Intrahepatic cholestasis of pregnancy
K73,Chronic Hepatitis,20061,Kartagener syndrome
K73,Chronic Hepatitis,20061,Lassa fever
K73,Chronic Hepatitis,20061,Legionella pneumophila
K73,Chronic Hepatitis,20061,Lemierre syndrome
K73,Chronic Hepatitis,20061,Leptospirosis
K73,Chronic Hepatitis,20061,"Liver cancer, primary"
K73,Chronic Hepatitis,20061,Liver metastases
K73,Chronic Hepatitis,20061,Macrophage activation syndrome
K73,Chronic Hepatitis,20061,Medium chain acyl-CoA dehydrogenase deficiency
K73,Chronic Hepatitis,20061,Mycoplasma pneumoniae
K73,Chronic Hepatitis,20061,Nanukayami
K73,Chronic Hepatitis,20061,Navajo neurohepatopathy
K73,Chronic Hepatitis,20061,Opisthorchiasis
K73,Chronic Hepatitis,20061,Pancreatic cancer
K73,Chronic Hepatitis,20061,Parenteral nutrition
K73,Chronic Hepatitis,20061,Parvovirus B19 infection
K73,Chronic Hepatitis,20061,Plasma membrane carnitine transporter deficiency
K73,Chronic Hepatitis,20061,"Polycystic kidney disease, autosomal recessive"
K73,Chronic Hepatitis,20061,Pre-eclampsia
K73,Chronic Hepatitis,20061,Primary biliary cirrhosis
K73,Chronic Hepatitis,20061,Psittacosis
K73,Chronic Hepatitis,20061,Q fever
K73,Chronic Hepatitis,20061,Radiotherapy
K73,Chronic Hepatitis,20061,Schistosoma haematobium
K73,Chronic Hepatitis,20061,Secondary syphilis
K73,Chronic Hepatitis,20061,Sickle cell disease
K73,Chronic Hepatitis,20061,"Steatohepatitis, non-alcoholic"
K73,Chronic Hepatitis,20061,Systemic lupus erythematosus
K73,Chronic Hepatitis,20061,Systemic sclerosis
K73,Chronic Hepatitis,20061,Tertiary syphilis
K73,Chronic Hepatitis,20061,Toxoplasma
K73,Chronic Hepatitis,20061,Treponema pallidum
K73,Chronic Hepatitis,20061,Typhoid fever
K73,Chronic Hepatitis,20061,UROD-related porphyria cutanea tarda
K73,Chronic Hepatitis,20061,Viral haemorrhagic fever
K73,Chronic Hepatitis,20061,Visceral leishmaniasis
K73,Chronic Hepatitis,20061,Wilson disease
K73,Chronic Hepatitis,20061,Yellow fever
K74.0,Hepatic Fibrosis,2729,3-beta-hydroxy-delta-5-C27-steroid oxidoreductase deficiency
K74.0,Hepatic Fibrosis,2729,Alagille syndrome
K74.0,Hepatic Fibrosis,2729,Alpers disease
K74.0,Hepatic Fibrosis,2729,Alpha-1-antitrypsin deficiency
K74.0,Hepatic Fibrosis,2729,Alstr_m syndrome
K74.0,Hepatic Fibrosis,2729,Bile duct stricture
K74.0,Hepatic Fibrosis,2729,Biliary atresia
K74.0,Hepatic Fibrosis,2729,Carbohydrate-deficient glycoprotein syndrome type 1b
K74.0,Hepatic Fibrosis,2729,"Cardiac failure, right sided"
K74.0,Hepatic Fibrosis,2729,Caroli disease
K74.0,Hepatic Fibrosis,2729,"Cholestasis-oedema syndrome, Norwegian type"
K74.0,Hepatic Fibrosis,2729,Cholestatic jaundice
K74.0,Hepatic Fibrosis,2729,Cholesterol ester storage disease
K74.0,Hepatic Fibrosis,2729,COACH syndrome
K74.0,Hepatic Fibrosis,2729,Congenital disorder of glycosylation type 1a
K74.0,Hepatic Fibrosis,2729,Congenital generalized lipodystrophy type 1
K74.0,Hepatic Fibrosis,2729,Congenital generalized lipodystrophy type 2
K74.0,Hepatic Fibrosis,2729,Cruveilhier-Baumgarten syndrome
K74.0,Hepatic Fibrosis,2729,Cystic fibrosis
K74.0,Hepatic Fibrosis,2729,Fasciola hepatica
K74.0,Hepatic Fibrosis,2729,Galactose-1-phosphate uridyltransferase deficiency
K74.0,Hepatic Fibrosis,2729,Glycogenosis type 3
K74.0,Hepatic Fibrosis,2729,Glycogenosis type 4
K74.0,Hepatic Fibrosis,2729,Glycogenosis type 9c
K74.0,Hepatic Fibrosis,2729,Graft versus host disease
K74.0,Hepatic Fibrosis,2729,Haemochromatosis
K74.0,Hepatic Fibrosis,2729,Haemosiderosis
K74.0,Hepatic Fibrosis,2729,Hepatic vein thrombosis
K74.0,Hepatic Fibrosis,2729,Hepatic venoocclusive disease with immunodeficiency
K74.0,Hepatic Fibrosis,2729,Hepatitis B
K74.0,Hepatic Fibrosis,2729,Hepatitis C
K74.0,Hepatic Fibrosis,2729,"Hypermanganesemia with dystonia, polycythemia, and cirrhosis"
K74.0,Hepatic Fibrosis,2729,Indian familial childhood cirrhosis
K74.0,Hepatic Fibrosis,2729,"Keratitis-ichthyosis-deafness syndrome, autosomal recessive"
K74.0,Hepatic Fibrosis,2729,Mainzer-Saldino disease
K74.0,Hepatic Fibrosis,2729,Neonatal haemochromatosis
K74.0,Hepatic Fibrosis,2729,North American Indian childhood cirrhosis
K74.0,Hepatic Fibrosis,2729,Parenteral nutrition
K74.0,Hepatic Fibrosis,2729,"Polycystic kidney disease, autosomal recessive"
K74.0,Hepatic Fibrosis,2729,Primary biliary cirrhosis
K74.0,Hepatic Fibrosis,2729,Primary sclerosing cholangitis
K74.0,Hepatic Fibrosis,2729,Progressive familial intrahepatic cholestasis type 2
K74.0,Hepatic Fibrosis,2729,Progressive familial intrahepatic cholestasis type 3
K74.0,Hepatic Fibrosis,2729,Schistosoma haematobium
K74.0,Hepatic Fibrosis,2729,Schistosoma japonicum
K74.0,Hepatic Fibrosis,2729,Schistosoma mansoni
K74.0,Hepatic Fibrosis,2729,Sensenbrenner syndrome
K74.0,Hepatic Fibrosis,2729,Sickle cell disease
K74.0,Hepatic Fibrosis,2729,"Steatohepatitis, non-alcoholic"
K74.0,Hepatic Fibrosis,2729,Trichohepatoenteric syndrome 1
K74.0,Hepatic Fibrosis,2729,Tyrosinaemia type 1
K74.0,Hepatic Fibrosis,2729,UROD-related porphyria cutanea tarda
K74.0,Hepatic Fibrosis,2729,Visceral leishmaniasis
K74.0,Hepatic Fibrosis,2729,Wilson disease
K74.0,Hepatic Fibrosis,2729,Zellweger spectrum
K74.6,Cirrhosis of Liver,2729,3-beta-hydroxy-delta-5-C27-steroid oxidoreductase deficiency
K74.6,Cirrhosis of Liver,2729,Alagille syndrome
K74.6,Cirrhosis of Liver,2729,Alpers disease
K74.6,Cirrhosis of Liver,2729,Alpha-1-antitrypsin deficiency
K74.6,Cirrhosis of Liver,2729,Alstr_m syndrome
K74.6,Cirrhosis of Liver,2729,Bile duct stricture
K74.6,Cirrhosis of Liver,2729,Biliary atresia
K74.6,Cirrhosis of Liver,2729,Carbohydrate-deficient glycoprotein syndrome type 1b
K74.6,Cirrhosis of Liver,2729,"Cardiac failure, right sided"
K74.6,Cirrhosis of Liver,2729,Caroli disease
K74.6,Cirrhosis of Liver,2729,"Cholestasis-oedema syndrome, Norwegian type"
K74.6,Cirrhosis of Liver,2729,Cholestatic jaundice
K74.6,Cirrhosis of Liver,2729,Cholesterol ester storage disease
K74.6,Cirrhosis of Liver,2729,COACH syndrome
K74.6,Cirrhosis of Liver,2729,Congenital disorder of glycosylation type 1a
K74.6,Cirrhosis of Liver,2729,Congenital generalized lipodystrophy type 1
K74.6,Cirrhosis of Liver,2729,Congenital generalized lipodystrophy type 2
K74.6,Cirrhosis of Liver,2729,Cruveilhier-Baumgarten syndrome
