ICD-10 Code,GI Disease,On DDB?,Symptoms
K25,Gastric Ulcer,5115,Gastroduodenal ulcers
K25,Gastric Ulcer,5115,Gastrointestinal perforation
K25,Gastric Ulcer,5115,Hypovolaemic shock
K25,Gastric Ulcer,5115,"Pancreatitis, acute"
K25,Gastric Ulcer,5115,Pyloric stenosis (adult / acquired)
K26,Duodenal Ulcer,4005,Abdominal pain
K26,Duodenal Ulcer,4005,Gastroduodenal ulcers
K26,Duodenal Ulcer,4005,Gastrointestinal perforation
K26,Duodenal Ulcer,4005,Hypovolaemic shock
K26,Duodenal Ulcer,4005,"Pancreatitis, acute"
K27,Peptic Ulcer,9819,Abdominal pain
K27,Peptic Ulcer,9819,Gastrointestinal bleeding
K28,Gastrojejunal Ulcer,,
K29.7,Gastritis,34500,Abdominal pain
K29.7,Gastritis,34500,Gastroenteritis
K29.8,Duodenitis,,
K30,Dyspepsia,,
K31.7,Polyp of Stomach and Duodenum,5110,Gastric ulcer
K31.7,Polyp of Stomach and Duodenum,5110,Gastrointestinal polyps
K31.8,Achlorhydria,29513,N/A
K31.8,Gastroptosis,,
K35,Acute Appendicitis,885,Abdominal pain
K35,Acute Appendicitis,885,Peritonitis
K50,Crohn's Disease,3178,AA amyloidosis
K50,Crohn's Disease,3178,Abdominal mass
K50,Crohn's Disease,3178,Abdominal pain
K50,Crohn's Disease,3178,Alkaline phosphatase levels raised (plasma or serum)
K50,Crohn's Disease,3178,Bile acid malabsorption syndrome
K50,Crohn's Disease,3178,CEA raised
K50,Crohn's Disease,3178,Cheilitis granulomatosa
K50,Crohn's Disease,3178,Cheilosis
K50,Crohn's Disease,3178,Colitis
K50,Crohn's Disease,3178,Diarrhoea
K50,Crohn's Disease,3178,Digital clubbing
K50,Crohn's Disease,3178,Enthesopathy
K50,Crohn's Disease,3178,Erythema nodosum
K50,Crohn's Disease,3178,ESR raised
K50,Crohn's Disease,3178,Fistula of intestine
K50,Crohn's Disease,3178,Gastroduodenal ulcers
K50,Crohn's Disease,3178,Gastrointestinal bleeding
K50,Crohn's Disease,3178,Gastrointestinal polyps
K50,Crohn's Disease,3178,Inflammatory bowel disease
K50,Crohn's Disease,3178,Intestinal stricture
K50,Crohn's Disease,3178,Liver granuloma
K50,Crohn's Disease,3178,Malabsorption syndrome
K50,Crohn's Disease,3178,Monocytosis
K50,Crohn's Disease,3178,Pneumatosis intestinalis
K50,Crohn's Disease,3178,Proctitis
K50,Crohn's Disease,3178,Pyoderma gangrenosum
K50,Crohn's Disease,3178,Pyrexia of unknown origin
K50,Crohn's Disease,3178,Reactive arthropathy
K50,Crohn's Disease,3178,Rectovaginal fistula
K50,Crohn's Disease,3178,Rectovesical fistula
K50,Crohn's Disease,3178,Reiter syndrome
K50,Crohn's Disease,3178,Vitamin B12 deficiency
K51,Ulcerative Colitis,3178,Abdominal pain
K51,Ulcerative Colitis,3178,Alkaline phosphatase levels raised (plasma or serum)
K51,Ulcerative Colitis,3178,"Autoimmune haemolytic anaemia, warm antibody"
K51,Ulcerative Colitis,3178,Basophilia
K51,Ulcerative Colitis,3178,c-ANCA
K51,Ulcerative Colitis,3178,CEA raised
K51,Ulcerative Colitis,3178,Colitis
K51,Ulcerative Colitis,3178,"Coombs positive, direct"
K51,Ulcerative Colitis,3178,Diarrhoea
K51,Ulcerative Colitis,3178,Digital clubbing
K51,Ulcerative Colitis,3178,Episcleritis
K51,Ulcerative Colitis,3178,Erythema nodosum
K51,Ulcerative Colitis,3178,ESR raised
K51,Ulcerative Colitis,3178,Gastrointestinal bleeding
K51,Ulcerative Colitis,3178,Gastrointestinal polyps
K51,Ulcerative Colitis,3178,Hyposplenism
K51,Ulcerative Colitis,3178,Inflammatory bowel disease
K51,Ulcerative Colitis,3178,Monocytosis
K51,Ulcerative Colitis,3178,Pneumatosis intestinalis
K51,Ulcerative Colitis,3178,Proctitis
K51,Ulcerative Colitis,3178,Pyoderma gangrenosum
K51,Ulcerative Colitis,3178,Pyrexia of unknown origin
K51,Ulcerative Colitis,3178,Reactive arthropathy
K51,Ulcerative Colitis,3178,Reiter syndrome
K51,Ulcerative Colitis,3178,Sacroiliitis
K51,Ulcerative Colitis,3178,Stomatitis
K51,Ulcerative Colitis,3178,Toxic megacolon
K51,Ulcerative Colitis,3178,Uveitis
K52,Gastroenteritis,30726,Abdominal pain
K52,Gastroenteritis,30726,Nausea and vomiting
K55,Vascular Disorder of Intestine,,
K55.2,Angiodysplasia of colon,2963,Gastrointestinal bleeding
K56.2,Volvulus,13996,Abdominal pain
K56.2,Volvulus,13996,Bowel obstruction
K56.2,Volvulus,13996,Nausea and vomiting
K57,Diverticular Disease of Intestine,3871,Colonic diverticulitis
K57,Diverticular Disease of Intestine,3871,Constipation
K57,Diverticular Disease of Intestine,3871,Fistula of intestine
K57,Diverticular Disease of Intestine,3871,Gastrointestinal bleeding
K57,Diverticular Disease of Intestine,3871,Intestinal stricture
K57,Diverticular Disease of Intestine,3871,Rectovesical fistula
K58,Irritable Bowel Syndrome,30638,Abdominal pain
K58,Irritable Bowel Syndrome,30638,Constipation
K58,Irritable Bowel Syndrome,30638,Diarrhoea
K58,Irritable Bowel Syndrome,30638,Tenesmus
K59.0,Constipation,3080,Abdominal mass
K59.0,Constipation,3080,Abdominal pain
K59.0,Constipation,3080,Megacolon
K59.0,Constipation,3080,Urine indicans raised
K59.0,Constipation,3080,Urobilinogen levels raised (urine)
K59.1,Functional Diarrhoea,3742,Dehydration
K59.1,Functional Diarrhoea,3742,Depletional hyponatraemia
K59.1,Functional Diarrhoea,3742,Faecal incontinence
K59.1,Functional Diarrhoea,3742,Hypernatraemia
K59.1,Functional Diarrhoea,3742,Hypokalaemia
K59.1,Functional Diarrhoea,3742,Hypomagnesemia
K59.1,Functional Diarrhoea,3742,Hypophosphataemia
K59.1,Functional Diarrhoea,3742,Hypovolaemic shock
K59.1,Functional Diarrhoea,3742,Sodium levels low (urine)
K59.2,Neurogenic Bowel,,
K59.3,Megacolon,32198,N/A
K59.4,Anal Spasm,,
K60.2,Anal Fissure,673,Constipation
K60.2,Anal Fissure,673,Dyspareunia
K60.2,Anal Fissure,673,Gastrointestinal bleeding
K60.3,Anal Fistula,31933,Faecal incontinence
K60.5,Anorectal Fistula,31933,Faecal incontinence
K61.0,Anal Abscess,32048,N/A
K62.0,Anal Polyp,,
K62.1,Rectal Polyp,,
K62.2,Anal Prolapse,,
K62.3,Rectal Prolapse,11189,Constipation
K62.3,Rectal Prolapse,11189,Genital prolapse
K62.4,Stenosis of Anus and Rectum,,
K62.6,Ulcer of Anus and Rectum,,
K62.7,Radiation Proctitis,25171,Gastrointestinal bleeding
K62.7,Radiation Proctitis,25171,Tenesmus
K63.0,Abscess of Intestine,,
K63.1,Perforation of Intestine,34042,Abdominal pain
K63.1,Perforation of Intestine,34042,Peritonitis
K63.2,Fistula of Intestine,4839,Hypokalaemia
K63.2,Fistula of Intestine,4839,Hypomagnesemia
K63.4,Enteroptosis,,
K65,Peritonitis,9860,Abdominal pain
K65,Peritonitis,9860,Alkaline phosphatase levels raised (plasma or serum)
K65,Peritonitis,9860,Amylase levels raised (plasma or serum)
K65,Peritonitis,9860,Hiccups
K65,Peritonitis,9860,Lipase levels raised (plasma)
K65,Peritonitis,9860,Liver abscess
K65,Peritonitis,9860,Paralytic Ileus
K65,Peritonitis,9860,Peritoneal adhesions
K65,Peritonitis,9860,Septic shock
K66.0,Peritoneal Adhesions,273,Abdominal mass
K66.0,Peritoneal Adhesions,273,Abdominal pain
K66.0,Peritoneal Adhesions,273,Bowel obstruction
K66.0,Peritoneal Adhesions,273,Female infertility
K70,Alcoholic Liver Disease,,
K71,Toxic Liver Disease,,
K72,Hepatic Failure,5728,Acute confusional state
K72,Hepatic Failure,5728,Ammonia levels raised (blood)
K72,Hepatic Failure,5728,Ascites
K72,Hepatic Failure,5728,Asterixis
K72,Hepatic Failure,5728,Body odour
K72,Hepatic Failure,5728,Cerebral oedema
K72,Hepatic Failure,5728,Clotting factor dysfunction or deficiency
K72,Hepatic Failure,5728,Fructosuria
K72,Hepatic Failure,5728,Headache
K72,Hepatic Failure,5728,Hepatocellular jaundice
K72,Hepatic Failure,5728,Hepatorenal syndrome
K72,Hepatic Failure,5728,Hyperaldosteronism
K72,Hepatic Failure,5728,Hypoglycaemia
K72,Hepatic Failure,5728,Hypophosphataemia
K72,Hepatic Failure,5728,Hypoproteinaemia
K72,Hepatic Failure,5728,Hypouricemia
K72,Hepatic Failure,5728,Immune deficiency
K72,Hepatic Failure,5728,Lactic acidosis
K72,Hepatic Failure,5728,Leptocytosis
K72,Hepatic Failure,5728,Neutrophil nuclear hypersegmentation
K72,Hepatic Failure,5728,Oedema
K72,Hepatic Failure,5728,Palmar erythema
K72,Hepatic Failure,5728,Pleural effusion
K72,Hepatic Failure,5728,Pyruvic acid levels raised (blood)
K72,Hepatic Failure,5728,Raised intracranial pressure
K72,Hepatic Failure,5728,Reduced level of consciousness
K72,Hepatic Failure,5728,Renin levels raised (serum)
K72,Hepatic Failure,5728,Respiratory alkalosis
K72,Hepatic Failure,5728,Respiratory failure
K72,Hepatic Failure,5728,Telangiectasia
K72,Hepatic Failure,5728,Tremor
K72,Hepatic Failure,5728,Urobilinogen levels low (urine)
K73,Chronic Hepatitis,20061,Alanine transaminase levels raised (plasma or serum)
K73,Chronic Hepatitis,20061,Aldolase levels raised (plasma or serum)
K73,Chronic Hepatitis,20061,Alpha fetoprotein levels raised (serum)
K73,Chronic Hepatitis,20061,Aspartate transaminase levels raised (plasma or serum)
K73,Chronic Hepatitis,20061,Ferritin levels raised (plasma or serum)
K73,Chronic Hepatitis,20061,Gamma-glutamyl transferase levels raised (plasma or serum)
K73,Chronic Hepatitis,20061,Hepatic failure
K73,Chronic Hepatitis,20061,Hepatomegaly
K73,Chronic Hepatitis,20061,Jaundice
K73,Chronic Hepatitis,20061,Lactate dehydrogenase levels raised (plasma or serum)
K73,Chronic Hepatitis,20061,Liver function tests abnormal
K74.6,Cirrhosis of Liver,2729,Acanthocytosis
K74.6,Cirrhosis of Liver,2729,Acute confusional state
K74.6,Cirrhosis of Liver,2729,Alpha fetoprotein levels raised (serum)
K74.6,Cirrhosis of Liver,2729,Ascites
K74.6,Cirrhosis of Liver,2729,CEA raised
K74.6,Cirrhosis of Liver,2729,Clotting factor dysfunction or deficiency
K74.6,Cirrhosis of Liver,2729,Cyanosis
K74.6,Cirrhosis of Liver,2729,Digital clubbing
K74.6,Cirrhosis of Liver,2729,Gynaecomastia
K74.6,Cirrhosis of Liver,2729,Hepatic failure
K74.6,Cirrhosis of Liver,2729,Hepatic portal vein obstruction
K74.6,Cirrhosis of Liver,2729,Hepatocellular jaundice
K74.6,Cirrhosis of Liver,2729,Hepatorenal syndrome
K74.6,Cirrhosis of Liver,2729,Hyperphosphataemia
K74.6,Cirrhosis of Liver,2729,Hypoproteinaemia
K74.6,Cirrhosis of Liver,2729,Immunoglobulin levels raised (plasma or serum)
K74.6,Cirrhosis of Liver,2729,Macrocytosis (erythrocyte)
K74.6,Cirrhosis of Liver,2729,Oedema
K74.6,Cirrhosis of Liver,2729,Parotid gland enlargement
K74.6,Cirrhosis of Liver,2729,Pleural effusion
K74.6,Cirrhosis of Liver,2729,Portal hypertension
K74.6,Cirrhosis of Liver,2729,Potassium levels raised (urine)
K74.6,Cirrhosis of Liver,2729,Proteinuria
K74.6,Cirrhosis of Liver,2729,Pyrexia of unknown origin
K74.6,Cirrhosis of Liver,2729,Serum protein electrophoresis abnormal
K74.6,Cirrhosis of Liver,2729,Sex hormone binding globulin raised (serum)
K74.6,Cirrhosis of Liver,2729,Sodium levels low (urine)
K74.6,Cirrhosis of Liver,2729,Spider naevi
K74.6,Cirrhosis of Liver,2729,Tremor
K74.6,Cirrhosis of Liver,2729,Cholangiocarcinoma
K74.6,Cirrhosis of Liver,2729,"Liver cancer, primary"
K74.6,Cirrhosis of Liver,2729,Oesophageal varices
K74.6,Cirrhosis of Liver,2729,Water overload
K74.0,Hepatic Fibrosis,2729,Acanthocytosis
K74.0,Hepatic Fibrosis,2729,Acute confusional state
K74.0,Hepatic Fibrosis,2729,Alpha fetoprotein levels raised (serum)
K74.0,Hepatic Fibrosis,2729,Ascites
K74.0,Hepatic Fibrosis,2729,CEA raised
K74.0,Hepatic Fibrosis,2729,Clotting factor dysfunction or deficiency
K74.0,Hepatic Fibrosis,2729,Cyanosis
K74.0,Hepatic Fibrosis,2729,Digital clubbing
K74.0,Hepatic Fibrosis,2729,Gynaecomastia
K74.0,Hepatic Fibrosis,2729,Hepatic failure
K74.0,Hepatic Fibrosis,2729,Hepatic portal vein obstruction
K74.0,Hepatic Fibrosis,2729,Hepatocellular jaundice
K74.0,Hepatic Fibrosis,2729,Hepatorenal syndrome
K74.0,Hepatic Fibrosis,2729,Hyperphosphataemia
K74.0,Hepatic Fibrosis,2729,Hypoproteinaemia
K74.0,Hepatic Fibrosis,2729,Immunoglobulin levels raised (plasma or serum)
K74.0,Hepatic Fibrosis,2729,Macrocytosis (erythrocyte)
K74.0,Hepatic Fibrosis,2729,Oedema
K74.0,Hepatic Fibrosis,2729,Parotid gland enlargement
K74.0,Hepatic Fibrosis,2729,Pleural effusion
K74.0,Hepatic Fibrosis,2729,Portal hypertension
K74.0,Hepatic Fibrosis,2729,Potassium levels raised (urine)
K74.0,Hepatic Fibrosis,2729,Proteinuria
K74.0,Hepatic Fibrosis,2729,Pyrexia of unknown origin
K74.0,Hepatic Fibrosis,2729,Serum protein electrophoresis abnormal
K74.0,Hepatic Fibrosis,2729,Sex hormone binding globulin raised (serum)
K74.0,Hepatic Fibrosis,2729,Sodium levels low (urine)
K74.0,Hepatic Fibrosis,2729,Spider naevi
K74.0,Hepatic Fibrosis,2729,Tremor
K74.0,Hepatic Fibrosis,2729,Cholangiocarcinoma
K74.0,Hepatic Fibrosis,2729,"Liver cancer, primary"
K74.0,Hepatic Fibrosis,2729,Oesophageal varices
K74.0,Hepatic Fibrosis,2729,Water overload
K74.3,Primary Biliary Cirrhosis,10615,Alkaline phosphatase liver isoenzyme levels raised (plasma or serum)
K74.3,Primary Biliary Cirrhosis,10615,Angiotensin converting enzyme levels raised (plasma or serum)
K74.3,Primary Biliary Cirrhosis,10615,Antinuclear antibodies
K74.3,Primary Biliary Cirrhosis,10615,Autoantibodies
K74.3,Primary Biliary Cirrhosis,10615,Cholestatic jaundice
K74.3,Primary Biliary Cirrhosis,10615,Cirrhosis of liver
K74.3,Primary Biliary Cirrhosis,10615,Digital clubbing
K74.3,Primary Biliary Cirrhosis,10615,Hepatic failure
K74.3,Primary Biliary Cirrhosis,10615,Hepatocellular jaundice
K74.3,Primary Biliary Cirrhosis,10615,Hepatomegaly
K74.3,Primary Biliary Cirrhosis,10615,Hyperpigmentation
K74.3,Primary Biliary Cirrhosis,10615,Hypokalaemic distal renal tubular acidosis
K74.3,Primary Biliary Cirrhosis,10615,Splenomegaly
K74.3,Primary Biliary Cirrhosis,10615,Thyroid hormone binding globulin levels raised (serum)
K75.0,Abscess of Liver,22094,Abdominal pain
K75.0,Abscess of Liver,22094,Alkaline phosphatase liver isoenzyme levels raised (plasma or serum)
K75.0,Abscess of Liver,22094,Hepatic cyst
K75.0,Abscess of Liver,22094,Hepatomegaly
K75.0,Abscess of Liver,22094,Pyrexia of unknown origin
K76.0,Fatty Liver,18844,
K76.6,Portal Hypertension,10388,Gastrointestinal bleeding
K76.6,Portal Hypertension,10388,Haemorrhoids
K76.6,Portal Hypertension,10388,Hepatorenal syndrome
K76.6,Portal Hypertension,10388,Oesophageal varices
K76.6,Portal Hypertension,10388,Pulmonary hypertension
K76.7,Hepatorenal Syndrome,5810,"Cardiac failure, high output"
K76.7,Hepatorenal Syndrome,5810,Hyponatraemia
K76.7,Hepatorenal Syndrome,5810,Renal failure
K76.7,Hepatorenal Syndrome,5810,Sodium levels low (urine)
K80,Cholelithiasis,2533,Abdominal mass
K80,Cholelithiasis,2533,Abdominal pain
K80,Cholelithiasis,2533,Alkaline phosphatase liver isoenzyme levels raised (plasma or serum)
K80,Cholelithiasis,2533,Bile duct stricture
K80,Cholelithiasis,2533,"Cholestasis, extrahepatic"
K80,Cholelithiasis,2533,Nausea and vomiting
K80,Cholelithiasis,2533,"Pancreatitis, acute"
K80,Cholelithiasis,2533,Paralytic Ileus
K80,Cholelithiasis,2533,Peritonitis
K80,Cholelithiasis,2533,Shoulder pain
K81,Cholecystitis,2520,Abdominal pain
K81,Cholecystitis,2520,Gallbladder empyema
K81,Cholecystitis,2520,Liver abscess
K81,Cholecystitis,2520,Peritonitis
K81,Cholecystitis,2520,Pyrexia
K81,Cholecystitis,2520,Cholelithiasis
K82.0,Obstruction of Gallbladder,,
K82.1,Hydrops of Gallbladder,,
K82.2,Perforation of Gallbladder,5075,Abdominal pain
K82.2,Perforation of Gallbladder,5075,Peritonitis
K82.4,Cholesterolosis of Gallbladder,31524,
K83.4,Spasm of Sphincter of Oddi,12297,Abdominal pain
K85,Acute Pancreatitis,9539,Abdominal pain
K85,Acute Pancreatitis,9539,Acute lung syndrome
K85,Acute Pancreatitis,9539,Aldolase levels raised (plasma or serum)
K85,Acute Pancreatitis,9539,Amylase levels raised (plasma or serum)
K85,Acute Pancreatitis,9539,Aspartate transaminase levels raised (plasma or serum)
K85,Acute Pancreatitis,9539,Back pain
K85,Acute Pancreatitis,9539,CEA raised
K85,Acute Pancreatitis,9539,Disseminated intravascular coagulation
K85,Acute Pancreatitis,9539,Fat embolism
K85,Acute Pancreatitis,9539,Grey Turner sign
K85,Acute Pancreatitis,9539,Hepatic portal vein obstruction
K85,Acute Pancreatitis,9539,Hyperglycaemia
K85,Acute Pancreatitis,9539,Hypocalcaemia
K85,Acute Pancreatitis,9539,Hypomagnesemia
K85,Acute Pancreatitis,9539,Lipase levels raised (plasma)
K85,Acute Pancreatitis,9539,Neutrophilia
K85,Acute Pancreatitis,9539,Pancreatic pseudocyst
K85,Acute Pancreatitis,9539,Pancreatitis
K85,Acute Pancreatitis,9539,"Pancreatitis, chronic"
K85,Acute Pancreatitis,9539,Panniculitis
K85,Acute Pancreatitis,9539,Paralytic Ileus
K85,Acute Pancreatitis,9539,Pleural effusion
K85,Acute Pancreatitis,9539,Purtscher retinopathy
K85,Acute Pancreatitis,9539,Shock
K86.3,Pseudocyst of Pancreas,9530,Abdominal mass
K86.3,Pseudocyst of Pancreas,9530,Abdominal pain
K86.3,Pseudocyst of Pancreas,9530,Amylase levels raised (plasma or serum)
K86.3,Pseudocyst of Pancreas,9530,Lipase levels raised (plasma)
K86.3,Pseudocyst of Pancreas,9530,Pancreatitis
K90,Intestinal Malabsorption,7698,Amenorrhoea
K90,Intestinal Malabsorption,7698,Clotting factor dysfunction or deficiency
K90,Intestinal Malabsorption,7698,Copper levels low (serum or plasma)
K90,Intestinal Malabsorption,7698,Delayed puberty
K90,Intestinal Malabsorption,7698,Diarrhoea
K90,Intestinal Malabsorption,7698,Diarrhoea
K90,Intestinal Malabsorption,7698,Female infertility
K90,Intestinal Malabsorption,7698,Folate deficiency
K90,Intestinal Malabsorption,7698,Hyperoxaluria
K90,Intestinal Malabsorption,7698,"Hyperparathyroidism, secondary"
K90,Intestinal Malabsorption,7698,"Hyperparathyroidism, tertiary"
K90,Intestinal Malabsorption,7698,Hypocalcaemia
K90,Intestinal Malabsorption,7698,Hypomagnesemia
K90,Intestinal Malabsorption,7698,Hypophosphataemia
K90,Intestinal Malabsorption,7698,Hypoproteinaemia
K90,Intestinal Malabsorption,7698,Immune deficiency
K90,Intestinal Malabsorption,7698,Iron deficiency
K90,Intestinal Malabsorption,7698,Leuconychia
K90,Intestinal Malabsorption,7698,Muscle atrophy
K90,Intestinal Malabsorption,7698,Muscle weakness
K90,Intestinal Malabsorption,7698,Nephrolithiasis
K90,Intestinal Malabsorption,7698,Oedema
K90,Intestinal Malabsorption,7698,Osmotic diarrhoea
K90,Intestinal Malabsorption,7698,Osteomalacia
K90,Intestinal Malabsorption,7698,Parotid gland enlargement
K90,Intestinal Malabsorption,7698,Pathological fracture
K90,Intestinal Malabsorption,7698,Peripheral neuropathy
K90,Intestinal Malabsorption,7698,Red cell production reduced
K90,Intestinal Malabsorption,7698,Short stature
K90,Intestinal Malabsorption,7698,Stool colour change
K90,Intestinal Malabsorption,7698,Urea levels low (plasma or serum)
K90,Intestinal Malabsorption,7698,Vitamin A deficiency
K90,Intestinal Malabsorption,7698,Vitamin D deficiency
K90,Intestinal Malabsorption,7698,Vitamin E deficiency
K90,Intestinal Malabsorption,7698,Vitamin K deficiency
K90,Intestinal Malabsorption,7698,Weight loss
K90.0,Coeliac Disease,2922,Carcinogenesis
K90.0,Coeliac Disease,2922,Diarrhoea
K90.0,Coeliac Disease,2922,Hyposplenism
K90.0,Coeliac Disease,2922,Malabsorption syndrome
K90.0,Coeliac Disease,2922,Oral ulceration
K90.0,Coeliac Disease,2922,Rash
K90.0,Coeliac Disease,2922,Short stature
K90.1,Tropical Sprue,13393,Diarrhoea
K90.1,Tropical Sprue,13393,Malabsorption syndrome
K90.2,Blind Loop Syndrome,29514,Bacterial overgrowth of small intestine
K90.2,Blind Loop Syndrome,29514,Folate deficiency
K90.2,Blind Loop Syndrome,29514,Vitamin B12 deficiency
K91.1,Postgastric Surgery Syndromes,5103,Bacterial overgrowth of small intestine
K91.1,Postgastric Surgery Syndromes,5103,Diarrhoea
K91.1,Postgastric Surgery Syndromes,5103,Hypoglycaemia
K91.1,Postgastric Surgery Syndromes,5103,Malabsorption syndrome
K91.1,Postgastric Surgery Syndromes,5103,Postgastrectomy dumping syndrome
K91.1,Postgastric Surgery Syndromes,5103,Vitamin B12 deficiency
K91.5,Postcholecystectomy Syndrome,,
K62.5,Haemorrhage of Anus and Rectum,19317,Anemia secondary to blood loss
K62.5,Haemorrhage of Anus and Rectum,19317,Faecal occult blood positive
K62.5,Haemorrhage of Anus and Rectum,19317,Hematemesis
K62.5,Haemorrhage of Anus and Rectum,19317,Reticulocytosis
K62.5,Haemorrhage of Anus and Rectum,19317,Urea levels raised (plasma or serum)
K92.2,Gastrointestinal Haemorrhage,19317,Anemia secondary to blood loss
K92.2,Gastrointestinal Haemorrhage,19317,Faecal occult blood positive
K92.2,Gastrointestinal Haemorrhage,19317,Hematemesis
K92.2,Gastrointestinal Haemorrhage,19317,Reticulocytosis
K92.2,Gastrointestinal Haemorrhage,19317,Urea levels raised (plasma or serum)
